concubine n.妾，骈妇
philander v.玩弄女性，调情
fidelity n.忠诚，保真度
lament n.悲叹，悔恨
mistress n.女主人，情妇
brag v.n.吹牛，吹嘘
blatant adj.喧嚣的，吵闹的，炫耀的
sexism n.性别歧视
jar v.震动
slippery adj.靠不住的，圆滑的
puritanical
embolden
put up with 忍受
prevalent adj.普遍的，流行的
marital adj.丈夫的，婚姻的，夫妇间的
connotation n.含蓄，内涵
toil n.辛苦，苦工
nouveau riche 暴发户
sumptuous adj.奢侈的，华丽的
entice v.诱骗，引诱
meager adj.质量差的，贫乏的，瘦的
extravagance n.奢侈，浪费，放肆的言行
affluence n.富裕
proclaim v.宣布，公告，宣扬
dallying adj.空转的
repercussion n.反弹，回响
brash adj.性急的，无理的，仓促的
impair v.损害，减少，削弱
posh adj.豪华的，漂亮的，极好的
glamor n.魅力，迷人
entanglement n.纠缠，卷入，缠绕物
disgrace n.耻辱，不名誉
fertility n.肥沃，丰饶，生产力
patron n.赞助人，顾客
stalk n.茎
nemesis n.复仇女神，天罚
stripe n.斑纹，条纹
unscathed adj.没有受伤的
pariah n.贱民，被放逐者
shun v.避开，避免
scorn n.轻蔑，蔑视
retaliation n.报复
insatiable adj.不知足的，贪得无厌的
appetite n.食欲，欲望，爱好
scandal n.丑闻，中伤，耻辱
buster n.庞然大物，炸弹
harsh adj.粗糙的，刺耳的
deterrent adj.制止的，威慑的
collegiate adj.学院的
fetish n.迷信
bust n.殴打
stipulation n.约束，约定
notorious adj.声名狼藉的
communal adj.公有的
herald n.使者，先驱
concubinage n.非法同居，纳妾
bigamist n.重婚者
subordinate n.属下，附属物
revile v.斥责
dire adj.可怕的，阴沉的
vanity n.虚荣心
saturation n.饱和，渗透
yawn n.哈欠
inquisitive adj.好问的
chauvinist n.沙文主义
condone v.赦，宽恕
dalliance n.调情，调戏
aphrodisiac n.春药
vain adj.无价值的，徒劳的，自负的
epidemic n.传染病，流行病
deprivation n.剥夺，免职
scourge n.鞭，苦难
vice n.罪恶，堕落
celebrity n.名声，名人
feudal adj.封建制度的
bigamy n.重婚，重婚罪
zodiac n.黄道带，黄道十二宫
ferocious adj.残忍的，可怕的
sibling n.兄弟，同胞
sturdy adj.强健的，健全的
erotic adj.性爱的，性欲的，色情的
prospect n.景色，展望
puberty n.青春期
eligible adj.有资格当选的，合格的
sole n.脚掌，鞋底，底部
gangrene n.坏疽，腐败堕落
stake n.赌注，奖金
excruciate v.拷问，折磨
cripple n.跛者，残废
hobble v.蹒跚
protest n.抗议，反对
accusation n.控告，指控，指责
ordeal n.痛苦经历，煎熬
opium n.鸦片
depreciate v.贬值
beggar n.乞丐
devastate v.毁坏
abject adj.绝望无助的，可怜的
wallow v.打滚，沉迷
fabric n.织物，布
lush adj.多青草的
fragrance n.芳香
embroider v.刺绣，镶边，装饰
poignancy n.辛酸，强烈，深刻
scarcity n.缺乏，不足，缺少
ailment n.病痛，疾病
devour v.吞食，挥霍，吞没
spunk n.精神，勇气，怒意
resilience n.弹回，有弹力，回复力
exuberance n.茂盛，丰富
stature n.身材，高度
hurdle n.障碍，跳栏
rebellion n.谋反，叛乱
oppressive adj.压制性的，压迫的
decadent adj.衰微的，颓废的
bespeak v.预约，订，表示
prevalence n.普遍，流行，广泛
flaunting adj.招摇的，得意的
